ISO,FWA,FWC,MA,MC,Continent,LABEL,Classification
MEX,216113.875,216113.875,1688025.254,1688025.254,Americas,,Upper middle income
MHL,,,85071.338,85071.338,Oceania,SIDS,Upper middle income
MKD,1709.17,1709.17,,,Europe,,Upper middle income
MLI,109279.025,109279.025,,,Africa,,Low income
MLT,,,7882.105,7882.105,Europe,,High income
MMR,1862224.749,1862224.749,1323565.436,1323565.436,Asia,,Lower middle income
MNE,1115.7,1115.7,1194.9,1194.9,Europe,,Upper middle income
MNG,86.6,86.6,,,Asia,,Lower middle income
MNP,,,882.305,882.305,Oceania,,High income
MOZ,89472.9,89472.9,190582.6,190582.6,Africa,,Low income
MRT,16300,16300,549056.526,549056.526,Africa,,Lower middle income
MSR,,,38.4,38.4,Americas,,
MTQ,12.45,12.45,2668.91,2668.91,Americas,SIDS,
MUS,40.543,40.543,18698.08,18698.08,Africa,SIDS,Upper middle income
MWI,152486.575,152486.575,,,Africa,,Low income
MYS,132758.416,132758.416,1962767.126,1962767.126,Asia,,Upper middle income
MYT,,,,,Africa,,
NAM,3141.24,3141.24,520455.692,520455.692,Africa,,Upper middle income
NCL,2.8,2.8,5341.894,5341.894,Oceania,SIDS,High income
NER,44205.365,44205.365,,,Africa,,Low income
NFK,,,,,Oceania,,
NGA,656385.942,656385.942,425064.48,425064.48,Africa,,Lower middle income
NIC,850.556,850.556,68274.41,68274.41,Americas,,Lower middle income
NIU,,,60.4,60.4,Oceania,,
NLD,8041.4,8041.4,492684.04,492684.04,Europe,,High income
NOR,548.229,548.229,4069194.435,4069194.435,Europe,,High income
NPL,71937.91,71937.91,,,Asia,,Lower middle income
NRU,,,,,Oceania,,High income
NZL,2217.5,2217.5,599362.695,599362.695,Oceania,,High income
OMN,44.11,44.11,310920.1,310920.1,Asia,,High income
PAK,297939.497,297939.497,396451.4,396451.4,Asia,,Lower middle income
PAN,1478.341,1478.341,208332.992,208332.992,Americas,,Upper middle income
PCN,,,3.3,3.3,Oceania,,
PER,77313.618,77313.618,6149622.28,6149622.28,Americas,,Upper middle income
PHL,527694.469,527694.469,4426229.821,4426229.821,Asia,,Lower middle income
PLW,,,2009.195,2009.195,Oceania,,High income
PNG,16546.5,16546.5,277738.32,277738.32,Oceania,SIDS,Lower middle income
POL,61170.593,61170.593,202724.1,202724.1,Europe,,High income
PRI,24.992,24.992,2320.273,2320.273,Americas,SIDS,High income
PRK,13133,13133,849988.5,849988.5,Asia,,Low income
PRT,851.93,851.93,226883.794,226883.794,Europe,,High income
PRY,27334.974,27334.974,,,Americas,,Upper middle income
PSE,93.4,93.4,,,Asia,,Lower middle income
PYF,52.8,52.8,2786.4,2786.4,Oceania,SIDS,High income
QAT,28.1,28.1,15705,15705,Asia,,High income
REU,66.8,66.8,3094.3,3094.3,Africa,,
ROU,15985.635,15985.635,4371.282,4371.282,Europe,,Upper middle income
RUS,444074.4,444074.4,4592710.119,4592710.119,Europe,,Upper middle income
RWA,24511.236,24511.236,,,Africa,,Low income
SAU,6464.4,6464.4,104681.08,104681.08,Asia,,High income
SDN,32658.5,32658.5,2536.6,2536.6,Africa,,Low income
SEN,36263.694,36263.694,470503.794,470503.794,Africa,,Lower middle income
SGP,515.847,515.847,6633.726,6633.726,Asia,SIDS,High income
SGS,,,,,Oceania,,
SHN,,,915.607,915.607,Africa,,
SJM,,,,,Europe,,
SLB,1.374,1.374,67255.62,67255.62,Oceania,SIDS,Lower middle income
SLE,4244.9,4244.9,212885.1,212885.1,Africa,,Low income
SLV,6753.508,6753.508,55320.494,55320.494,Americas,,Lower middle income
SMR,,,,,Europe,,High income
SOM,220,220,32280,32280,Africa,,Low income
SPM,,,2897.8,2897.8,Americas,,
SRB,10574.616,10574.616,,,Europe,,Upper middle income
SSD,28016.5,28016.5,,,Africa,,Low income
STP,,,8964.11,8964.11,Africa,,Lower middle income
SUR,791.689,791.689,43842.32,43842.32,Americas,SIDS,Upper middle income
SVK,3779.481,3779.481,,,Europe,,High income
SVN,1253.48,1253.48,989.19,989.19,Europe,,High income
SWE,15534.73,15534.73,220579.9,220579.9,Europe,,High income
SWZ,179.9,179.9,,,Africa,,Lower middle income
SYC,,,113584.4,113584.4,Africa,SIDS,High income
SYR,8217.2,8217.2,2290.4,2290.4,Asia,,Low income
TCA,,,2826.1,2826.1,Americas,,High income
TCD,113483.8,113483.8,,,Africa,,Low income
TGO,6188.4,6188.4,20892.8,20892.8,Africa,,Low income
THA,678979.043,678979.043,2338579.686,2338579.686,Asia,,Upper middle income
TJK,1599.679,1599.679,,,Asia,,Lower middle income
TKL,,,139.7,139.7,Oceania,,
TKM,16546.9,16546.9,,,Asia,,Upper middle income
TLS,80.9,80.9,4845.77,4845.77,Asia,SIDS,Lower middle income
TON,,,2095.039,2095.039,Oceania,SIDS,Upper middle income
TTO,16.71,16.71,14670.896,14670.896,Americas,SIDS,High income
TUN,1784.9,1784.9,131665.74,131665.74,Africa,,Lower middle income
TUR,148446.95,148446.95,554553.51,554553.51,Asia,,Upper middle income
TUV,,,10631,10631,Oceania,,Upper middle income
TZA,352237.282,352237.282,75829.774,75829.774,Africa,,Lower middle income
UGA,582490.32,582490.32,,,Africa,,Low income
UKR,43834.904,43834.904,,,Europe,,Lower middle income
URY,3612.878,3612.878,76741.211,76741.211,Americas,,High income
USA,311196.153,311196.153,5584749.927,5584749.927,Americas,,High income
UZB,56622.43,56622.43,,,Asia,,Lower middle income
VCT,,,40430.08,40430.08,Americas,SIDS,Upper middle income
VEN,39730.942,39730.942,268768.539,268768.539,Americas,,
VGB,,,1327.2,1327.2,Americas,SIDS,High income
VIR,,,728.04,728.04,Americas,SIDS,High income
VNM,2698222.086,2698222.086,3972281.076,3972281.076,Asia,,Lower middle income
VUT,33.246,33.246,84585.594,84585.594,Oceania,SIDS,Lower middle income
WLF,,,336,336,Oceania,,
WSM,,,10565.611,10565.611,Oceania,SIDS,Lower middle income
YEM,,,194867.1,194867.1,Asia,,Low income
ZAF,2858.556,2858.556,656544.531,656544.531,Africa,,Upper middle income
ZMB,116568.61,116568.61,,,Africa,,Lower middle income
ZWE,29145.018,29145.018,,,Africa,,Lower middle income
